interview_date,child_age_years,child_birthday,EC6,EC7,EC8,EC9,EC10,EC11,EC12,EC13,EC14,EC15
3/22/2019,4,12/1/2014,2,2,2,2,1,2,2,1,2,1
3/22/2019,4,2/12/2015,2,2,2,1,2,1,2,1,1,2
3/22/2019,3,3/16/2016,2,2,2,1,2,1,1,1,1,1
3/22/2019,4,10/6/2014,2,2,2,1,1,1,1,1,2,2
3/22/2019,4,8/6/2014,2,2,2,2,1,1,1,1,1,1
3/22/2019,4,12/28/2014,2,2,1,1,2,1,2,1,2,2
3/21/2019,4,10/15/2014,2,2,2,1,1,1,1,1,1,2
3/21/2019,3,11/6/2015,2,2,2,1,2,1,1,1,1,2
3/21/2019,4,4/29/2014,1,1,1,1,2,1,1,1,2,1
3/20/2019,4,11/11/2014,2,2,2,1,2,1,2,1,2,2
3/21/2019,4,3/1/2015,2,2,1,1,2,1,1,1,2,2
3/20/2019,3,4/23/2015,2,2,2,1,2,2,2,1,2,1
3/22/2019,3,10/22/2015,2,2,2,1,2,1,1,1,2,2
3/18/2019,3,12/9/2015,2,2,2,1,2,1,1,1,2,2
3/18/2019,4,12/6/2014,2,2,2,1,1,1,1,1,1,1
3/18/2019,3,3/23/2015,2,2,2,1,2,2,1,1,1,2
3/21/2019,4,3/2/2015,2,2,2,2,2,2,2,1,1,2
3/26/2019,3,1/1/2016,2,2,2,1,2,2,1,1,2,2
3/26/2019,4,1/23/2015,2,2,2,1,2,1,1,1,2,1
3/25/2019,4,12/13/2014,1,2,1,1,2,1,1,1,2,2
3/25/2019,3,11/27/2015,2,2,2,1,2,1,1,1,2,2
3/26/2019,3,12/1/2015,2,2,2,1,2,1,1,1,2,2
3/25/2019,4,12/18/2014,2,2,2,1,2,1,1,1,2,1
3/26/2019,3,11/6/2015,2,2,1,1,1,2,2,1,1,1
3/27/2019,3,1/4/2016,2,2,2,1,2,1,1,1,1,2
3/28/2019,4,6/13/2014,2,2,2,1,2,1,1,1,2,1
3/28/2019,4,8/12/2014,2,2,2,1,2,1,1,1,1,2
3/29/2019,3,6/5/2015,2,2,2,1,2,1,1,1,2,1
